"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","66.2","59.6 to 72.1","440"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","7.3","4.4 to 12.0","374"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","33.2","27.3 to 39.7","349"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","23.0","18.5 to 28.2","435"
"Varicella","History of disease","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","63.5","57.7 to 69.0","365"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","13.3","8.2 to 20.9","200"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","25.3","19.0 to 32.9","187"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","25.4","18.7 to 33.6","166"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2014","Age","13-15 Years","44.3","34.6 to 54.4","137"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2015","Age","13-15 Years","36.7","28.7 to 45.6","167"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","80.0","73.2 to 85.5","242"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","26.6","19.2 to 35.6","200"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","33.8","26.2 to 42.4","166"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","63.1","55.4 to 70.3","274"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","60.9","51.6 to 69.4","223"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2021","Age","13-15 Years","95.7","91.5 to 97.8","251"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2022","Age","13-15 Years","92.5","86.4 to 96.0","210"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","87.4","80.5 to 92.1","187"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","93.0","88.6 to 95.7","274"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","72.6","61.0 to 81.8","163"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","82.7","74.1 to 88.9","140"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","49.8","41.6 to 58.1","187"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","42.2","33.2 to 51.8","140"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","88.3","80.2 to 93.4","223"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","28.4","20.0 to 38.7","163"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","95.7","93.4 to 97.3","448"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","96.4","93.3 to 98.1","349"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","89.9","83.6 to 93.9","345"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","93.4","90.5 to 95.5","496"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","95.2","92.0 to 97.2","435"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","94.7","92.1 to 96.5","427"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","92.7","89.3 to 95.1","366"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","84.0","79.3 to 87.8","399"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","81.7","76.1 to 86.3","344"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","51.2","42.3 to 60.0","174"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","36.2","26.8 to 46.7","165"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","52.7","43.7 to 61.5","223"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","36.8","29.4 to 44.9","187"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","98.4","96.9 to 99.2","427"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","96.7","93.8 to 98.3","366"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","95.6","92.4 to 97.5","399"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","95.2","91.5 to 97.3","344"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","96.1","92.2 to 98.1","242"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","94.0","89.1 to 96.8","440"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","95.5","92.2 to 97.5","365"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","97.0","94.3 to 98.4","373"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","95.7","92.9 to 97.4","441"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2020","Age","13-15 Years","95.6","91.9 to 97.7","232"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2015","Age","13-15 Years","84.2","78.0 to 88.8","272"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2016","Age","13-15 Years","94.1","89.6 to 96.7","215"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2012","Age","13-15 Years","67.0","55.4 to 76.8","147"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2011","Age","13-15 Years","64.6","55.3 to 73.0","182"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2013","Age","13-15 Years","84.4","76.8 to 89.9","160"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2019","Age","13-15 Years","92.8","87.6 to 95.9","256"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2014","Age","13-15 Years","82.3","75.3 to 87.6","240"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2009","Age","13-15 Years","42.7","32.3 to 53.8","104"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2010","Age","13-15 Years","51.7","42.0 to 61.3","138"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2018","Age","13-15 Years","95.2","91.3 to 97.4","303"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","94.6","91.0 to 96.8","374"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2017","Age","13-15 Years","93.8","89.9 to 96.2","260"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2008","Age","13-15 Years","35.1","23.8 to 48.3","109"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","95.2","91.9 to 97.2","428"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","94.6","91.4 to 96.6","434"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","94.2","90.4 to 96.5","442"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","74.7","69.2 to 79.6","373"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","78.9","73.8 to 83.3","365"
"≥2 Doses Hep A","","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","82.7","77.2 to 87.0","374"
"HPV","≥3 Doses, Males","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","15.8","9.6 to 24.9","175"
"HPV","≥3 Doses, Males","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","23.6","17.7 to 30.6","242"
"HPV","≥3 Doses, Males","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","21.8","15.9 to 29.2","227"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","86.7","81.8 to 90.4","349"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","85.9","81.4 to 89.5","435"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","76.8","71.3 to 81.5","441"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","75.9","69.0 to 81.7","345"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","94.8","92.2 to 96.6","529"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","95.3","93.0 to 96.9","479"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","94.1","91.2 to 96.0","448"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","86.9","82.9 to 90.1","496"
"Varicella","≥2 Doses or history of disease","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","75.8","69.6 to 81.0","440"
"≥2 Doses Hep A","","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","79.0","73.6 to 83.5","434"
"≥2 Doses Hep A","","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","76.6","71.3 to 81.1","428"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2013","Age","13-15 Years","28.9","18.8 to 41.7","98"
"HPV","≥3 Doses, Males","States/Local Areas","IL-Rest of state","2015","Age","13-15 Years","20.0","13.8 to 28.1","149"
"HPV","≥3 Doses, Males","States/Local Areas","IL-Rest of state","2014","Age","13-15 Years","21.3","14.1 to 30.7","152"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","32.6","24.7 to 41.6","174"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","46.5","38.5 to 54.7","208"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","16.9","10.8 to 25.4","165"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","38.6","31.9 to 45.8","254"
"HPV","≥3 Doses, Females","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","36.2","27.3 to 46.1","223"
"HPV","≥2 Doses, Males","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","19.4","12.8 to 28.4","175"
"HPV","≥2 Doses, Males","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","31.9","25.1 to 39.7","227"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2008","Age","13-15 Years","47.9","39.0 to 57.0","253"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2021","Age","13-15 Years","96.3","92.7 to 98.1","261"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2012","Age","13-15 Years","76.5","67.0 to 83.9","210"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2011","Age","13-15 Years","69.4","61.8 to 76.1","274"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2009","Age","13-15 Years","57.5","49.9 to 64.7","223"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2010","Age","13-15 Years","63.9","56.3 to 70.9","228"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","55.5","47.5 to 63.3","208"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","94.9","91.7 to 96.8","479"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","94.8","91.7 to 96.7","448"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018","Age","13-15 Years","90.1","85.6 to 93.3","334"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","41.1","32.6 to 50.1","174"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","69.7","64.2 to 74.8","442"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","95.1","91.0 to 97.4","374"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","73.7","67.9 to 78.8","428"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","75.2","69.7 to 79.9","434"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","79.7","73.9 to 84.5","374"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","91.8","87.9 to 94.6","442"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","93.1","89.4 to 95.5","428"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","94.9","91.9 to 96.9","434"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2019","Age","13-15 Years","92.8","88.4 to 95.6","282"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2020","Age","13-15 Years","92.5","87.5 to 95.6","249"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","29.3","22.6 to 37.1","187"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","32.2","24.7 to 40.7","166"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","44.1","35.1 to 53.6","223"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","24.5","16.5 to 34.7","165"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","62.7","57.4 to 67.7","479"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","61.4","55.8 to 66.6","448"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","93.4","90.5 to 95.4","529"
"HPV","≥1 Dose, Males and Females","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","66.3","61.4 to 70.9","529"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2011","Age","13-15 Years","63.9","56.2 to 71.0","274"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","80.0","74.6 to 84.5","441"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","79.3","72.1 to 85.0","345"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","73.2","66.7 to 78.8","440"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","78.9","73.5 to 83.4","373"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","72.2","66.4 to 77.4","365"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","90.0","84.8 to 93.6","349"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2009","Age","13-15 Years","54.7","47.2 to 62.0","223"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2010","Age","13-15 Years","49.1","41.6 to 56.7","228"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","77.9","69.4 to 84.6","199"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2008","Age","13-15 Years","40.4","31.9 to 49.5","253"
"HPV","≥2 Doses, Females","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","19.3","13.1 to 27.5","200"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2012","Age","13-15 Years","64.7","55.0 to 73.3","210"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2013","Age","13-15 Years","80.4","73.3 to 86.0","209"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2014","Age","13-15 Years","75.4","68.5 to 81.1","289"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2015","Age","13-15 Years","76.4","70.2 to 81.7","316"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2016","Age","13-15 Years","79.9","73.2 to 85.3","258"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","96.3","93.3 to 98.0","442"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","91.6","87.8 to 94.3","496"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","95.9","93.2 to 97.6","435"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2017","Age","13-15 Years","88.7","83.3 to 92.5","283"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","60.0","52.9 to 66.8","254"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","61.2","53.3 to 68.6","208"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","69.2","61.6 to 75.9","242"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","62.3","55.2 to 68.8","268"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","72.5","64.8 to 79.1","238"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","76.0","68.6 to 82.2","224"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","95.0","92.5 to 96.7","529"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","96.1","93.7 to 97.6","479"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","97.3","93.7 to 98.9","391"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","96.4","93.9 to 97.9","466"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","96.7","93.5 to 98.4","394"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","97.1","94.9 to 98.4","413"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","94.7","91.4 to 96.8","428"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","96.7","94.5 to 98.0","434"
"≥3 Doses HepB","","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","94.7","90.8 to 97.0","374"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","70.6","63.7 to 76.7","261"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","57.4","49.4 to 65.0","215"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","66.0","58.2 to 73.0","217"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","94.2","90.8 to 96.4","413"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","94.1","91.1 to 96.1","466"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","93.3","89.0 to 96.0","391"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","94.9","91.4 to 97.0","394"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","70.2","61.8 to 77.5","200"
"Varicella","≥2 Doses with no disease history","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","94.1","90.3 to 96.5","350"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","74.2","66.0 to 81.0","210"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","81.6","73.2 to 87.8","175"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","20.5","12.6 to 31.4","180"
"Varicella","≥1 Dose with no disease history","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","97.1","93.5 to 98.7","350"
"HPV","≥1 Dose, Females","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","75.0","66.0 to 82.3","190"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","31.4","23.3 to 40.8","175"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","67.7","60.9 to 73.9","264"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","56.9","49.2 to 64.4","231"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","39.1","32.0 to 46.7","242"
"HPV","≥1 Dose, Males","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","40.0","32.7 to 47.8","227"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2013","Age","13-17 Years","85.4","79.7 to 89.7","349"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","93.6","90.4 to 95.7","435"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","89.5","85.5 to 92.5","496"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","72.3","66.4 to 77.5","441"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2012","Age","13-17 Years","77.0","69.8 to 82.9","345"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2017","Age","13-17 Years","46.9","41.7 to 52.2","479"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2022","Age","13-15 Years","91.8","84.9 to 95.7","222"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","45.7","39.0 to 52.6","440"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","65.4","59.5 to 70.8","373"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","59.6","53.6 to 65.5","365"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2020","Age","13-15 Years","91.4","85.9 to 94.9","249"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2021","Age","13-15 Years","90.5","85.2 to 94.0","261"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2010","Age","13-17 Years","95.0","91.8 to 97.0","373"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2011","Age","13-17 Years","94.2","91.2 to 96.1","441"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2008","Age","13-17 Years","91.0","85.2 to 94.7","440"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2009","Age","13-17 Years","92.5","88.4 to 95.2","365"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2019","Age","13-15 Years","91.4","85.9 to 94.8","282"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2018","Age","13-15 Years","92.6","88.5 to 95.3","334"
"HPV","≥2 Doses, Males","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","29.9","23.5 to 37.3","242"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2013","Age","13-15 Years","86.8","79.2 to 91.9","209"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2014","Age","13-15 Years","94.6","91.3 to 96.7","289"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2015","Age","13-15 Years","89.1","83.6 to 92.8","316"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2017","Age","13-15 Years","90.6","85.1 to 94.2","283"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2016","Age","13-15 Years","92.1","87.1 to 95.3","258"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2016","Age","13-17 Years","46.1","40.6 to 51.7","448"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","52.9","47.2 to 58.5","442"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","51.0","45.9 to 56.0","529"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","61.2","55.1 to 67.0","428"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","60.4","54.5 to 66.0","434"
"HPV","Up-to-Date, Males and Females","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","64.9","58.5 to 70.8","374"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","94.9","91.0 to 97.2","374"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","96.0","92.8 to 97.8","442"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","93.7","90.3 to 95.9","428"
"≥2 Doses MMR","","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","94.6","92.0 to 96.4","529"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2020","Age","13-17 Years","92.1","88.3 to 94.7","428"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2021","Age","13-17 Years","89.6","85.3 to 92.8","434"
"Tetanus","≥1 Dose Tdap","States/Local Areas","IL-Rest of state","2022","Age","13-17 Years","94.3","90.1 to 96.8","374"
"HPV","≥3 Doses, Males and Females","States/Local Areas","IL-Rest of state","2015","Age","13-17 Years","30.9","26.3 to 36.0","496"
"HPV","≥3 Doses, Males and Females","States/Local Areas","IL-Rest of state","2014","Age","13-17 Years","33.9","28.7 to 39.6","435"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2019","Age","13-17 Years","90.6","86.7 to 93.5","442"
"≥1 Dose MenACWY","","States/Local Areas","IL-Rest of state","2018","Age","13-17 Years","91.0","87.8 to 93.4","529"
